,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ixtapa,20.7,-105.2,75.2,73,1,9.22,MX,1612564735
1,jamestown,42.097,-79.2353,25.0,63,90,17.27,US,1612564611
2,bafq,31.6128,55.4107,59.56,29,4,8.72,IR,1612564854
3,kijang,35.2442,129.2139,30.2,74,0,1.14,KR,1612564854
4,ostrovnoy,68.0531,39.5131,12.88,92,100,10.49,RU,1612564855
5,hualmay,-11.0964,-77.6139,72.32,73,73,9.95,PE,1612564855
6,vaini,-21.2,-175.2,86.0,79,75,5.75,TO,1612564826
7,hasaki,35.7333,140.8333,35.6,93,75,2.3,JP,1612564832
8,isabela,6.7085,121.9711,75.2,94,75,1.14,PH,1612564855
9,lerwick,60.1545,-1.1494,33.8,60,90,21.85,GB,1612564856
10,greencastle,39.6445,-86.8647,32.0,59,75,16.11,US,1612564773
11,rikitea,-23.1203,-134.9692,79.18,69,1,11.88,PF,1612564856
12,atambua,-9.1061,124.8925,74.37,89,100,2.28,ID,1612564857
13,zanjan,36.6736,48.4787,40.03,83,100,10.27,IR,1612564857
14,hermanus,-34.4187,19.2345,68.0,86,2,3.0,ZA,1612564857
15,chara,56.9064,118.2631,-13.56,74,94,1.34,RU,1612564857
16,atuona,-9.8,-139.0333,79.56,81,4,17.76,PF,1612564835
17,ust-karsk,52.7011,118.8077,-19.75,83,48,0.78,RU,1612564858
18,pevek,69.7008,170.3133,-17.12,85,20,0.78,RU,1612564858
19,bethel,41.3712,-73.414,37.0,88,100,5.79,US,1612564631
20,hamilton,39.1834,-84.5333,37.4,48,20,16.11,US,1612564645
21,bambous virieux,-20.2567,57.4061,78.8,78,75,3.44,MU,1612564858
22,san carlos de bariloche,13.3034,-4.8956,79.72,16,37,6.4,ML,1612564820
23,provideniya,64.3833,-173.3,7.92,92,100,12.57,RU,1612564859
24,santa maria,17.486,120.4348,72.43,74,9,4.45,PH,1612564859
25,cape town,-36.413,-71.9028,78.8,50,0,3.44,CL,1612564859
26,georgetown,5.4112,100.3354,77.0,83,20,3.44,MY,1612564708
27,upernavik,72.7868,-56.1549,3.36,71,56,5.44,GL,1612564846
28,highland,34.1283,-117.2086,73.4,20,1,6.91,US,1612564860
29,busselton,-33.65,115.3333,59.0,79,100,3.0,AU,1612564626
30,port alfred,-7.0349,29.7638,73.85,65,43,4.63,CD,1612564860
31,merrill,45.1805,-89.6835,8.6,61,90,20.71,US,1612564861
32,lagoa,39.05,-27.9833,58.51,87,98,15.59,PT,1612564861
33,mataura,-46.1927,168.8643,71.35,51,21,2.01,NZ,1612564599
34,benito juarez,51.9139,-101.5492,-5.8,49,95,9.22,CA,1612564862
35,iqaluit,63.7506,-68.5145,23.0,80,75,20.71,CA,1612564862
36,marquette,46.5333,-87.6335,10.0,65,100,5.01,US,1612564862
37,ushuaia,-54.8,-68.3,46.4,81,75,27.63,AR,1612564862
38,chalmette,29.9427,-89.9634,51.01,71,90,10.36,US,1612564863
39,bluff,-46.6,168.3333,58.91,74,66,3.42,NZ,1612564611
40,shar,49.5886,81.0453,21.4,94,100,8.63,KZ,1612564863
41,nikolskoye,59.7035,30.7861,12.0,78,75,13.42,RU,1612564660
42,san quintin,13.3034,-4.8956,80.49,16,95,5.53,ML,1612564786
43,sao joao da barra,20.5113,76.2129,58.66,49,0,5.97,IN,1612564864
44,san joaquin,13.3034,-4.8956,79.72,16,37,6.4,ML,1612564821
45,tiksi,71.6872,128.8694,-17.16,89,100,10.69,RU,1612564816
46,bathsheba,13.2167,-59.5167,78.8,65,20,18.41,BB,1612564864
47,new norfolk,6.6518,-10.5932,77.0,94,20,3.06,LR,1612564865
48,fort wellington,52.6517,6.3861,39.99,93,94,12.62,NL,1612564595
49,moranbah,-22.0016,148.0466,80.46,64,3,5.5,AU,1612564865
50,punta arenas,8.9897,125.34,76.57,81,85,3.89,PH,1612564865
51,hithadhoo,-0.6,73.0833,82.56,76,99,11.3,MV,1612564814
52,seoul,37.5683,126.9778,39.2,81,75,4.61,KR,1612564643
53,batagay-alyta,67.8006,130.4114,-28.88,83,100,0.96,RU,1612564866
54,kayerkan,69.3497,87.7602,-28.62,83,99,3.24,RU,1612564866
55,caravelas,-17.7125,-39.2481,80.19,80,98,15.55,BR,1612564622
56,manzhouli,49.6,117.4333,-5.96,90,14,7.36,CN,1612564867
57,buraydah,26.326,43.975,53.6,87,75,10.36,SA,1612564860
58,carnarvon,-24.8667,113.6333,80.6,78,75,21.85,AU,1612564608
59,esperance,-33.8667,121.9,59.0,94,90,4.61,AU,1612564610
60,port hedland,-7.0349,29.7638,73.85,65,43,4.63,CD,1612564867
61,talnakh,69.4865,88.3972,-27.04,83,90,4.88,RU,1612564868
62,isangel,-19.55,169.2667,82.4,83,20,3.94,VU,1612564671
63,kavieng,-2.5744,150.7967,82.22,74,96,6.33,PG,1612564868
64,linxia,35.6003,103.2064,26.15,71,75,2.33,CN,1612564868
65,paysandu,-32.3214,-58.0756,70.0,51,0,8.61,UY,1612564661
66,sitka,57.0531,-135.33,37.4,93,90,9.22,US,1612564867
67,khatanga,71.9667,102.5,-33.75,78,11,7.76,RU,1612564816
68,port hardy,-7.0349,29.7638,73.85,65,43,4.63,CD,1612564860
69,ribeira grande,42.7461,-8.4439,51.01,93,75,13.8,ES,1612564869
70,qaanaaq,77.484,-69.3632,-6.68,76,100,8.37,GL,1612564869
71,sioux lookout,42.7333,-96.2336,19.99,62,20,13.8,US,1612564870
72,geraldton,-28.7667,114.6,60.8,88,90,28.77,AU,1612564620
73,barra do garcas,-11.0894,-43.1417,80.55,63,63,4.72,BR,1612564870
74,bengkulu,-3.8004,102.2655,75.81,82,87,4.29,ID,1612564870
75,san cristobal,13.3034,-4.8956,80.49,16,95,5.53,ML,1612564786
76,luderitz,-26.6481,15.1594,71.64,50,0,20.51,NA,1612564591
77,zalaegerszeg,46.84,16.8439,41.0,93,98,8.05,HU,1612564871
78,tuktoyaktuk,69.4541,-133.0374,-29.2,68,90,11.5,CA,1612564843
79,birao,10.2849,22.7882,72.75,20,66,12.68,CF,1612564871
80,vao,-22.6667,167.4833,77.99,86,0,9.95,NC,1612564872
81,klaksvik,62.2266,-6.589,32.0,100,20,1.14,FO,1612564861
82,mount gambier,53.6597,-1.8537,42.01,54,99,3.0,GB,1612564872
83,manado,1.487,124.8455,73.4,100,20,1.92,ID,1612564700
84,kaeo,-35.1,173.7833,72.16,62,100,5.14,NZ,1612564856
85,clyde river,41.3042,-82.9752,23.0,71,99,1.99,US,1612564873
86,altamont,42.2068,-121.7372,46.4,53,1,13.8,US,1612564873
87,espanola,35.9911,-106.0806,45.0,30,1,4.61,US,1612564873
88,polyarnyy,69.1989,33.4478,3.2,85,20,2.24,RU,1612564873
89,hobart,-42.8794,147.3294,69.01,94,75,8.05,AU,1612564614
90,dawei,14.0833,98.2,70.07,61,16,3.44,MM,1612564874
91,thompson,55.7435,-97.8558,-18.4,69,90,12.66,CA,1612564874
92,kodiak,57.79,-152.4072,37.4,70,90,6.91,US,1612564874
93,lethem,3.3803,-59.7968,82.22,57,5,10.56,GY,1612564875
94,hilo,19.7297,-155.09,78.8,57,1,5.75,US,1612564622
95,pitimbu,-7.4706,-34.8086,80.6,78,0,6.91,BR,1612564663
96,saskylakh,71.9167,114.0833,-29.67,84,90,5.7,RU,1612564626
97,mar del plata,43.4002,-4.0094,53.6,100,90,10.36,ES,1612564875
98,dikson,73.5069,80.5464,-31.65,84,4,11.43,RU,1612564813
99,vardo,70.3705,31.1107,24.8,86,75,13.8,NO,1612564876
100,mahebourg,-20.4081,57.7,78.8,78,75,3.44,MU,1612564876
101,port macquarie,-7.0349,29.7638,73.85,65,43,4.63,CD,1612564876
102,acajutla,13.5928,-89.8275,82.0,58,21,6.33,SV,1612564877
103,praia da vitoria,14.9215,-23.5087,68.0,68,40,18.41,CV,1612564877
104,bassila,9.0081,1.6654,80.22,18,48,4.74,BJ,1612564877
105,adjumani,3.3779,31.7909,77.76,27,91,3.2,UG,1612564877
106,avarua,-21.2078,-159.775,86.0,66,20,14.97,CK,1612564837
107,kroya,-7.6331,109.2461,76.08,87,92,3.94,ID,1612564878
108,moose factory,43.6558,-110.7183,30.0,80,90,11.5,US,1612564878
109,imeni stepana razina,7.3199,5.9646,76.41,71,41,4.74,NG,1612564878
110,horta,38.5333,-28.6333,57.85,85,82,12.08,PT,1612564879
111,east london,65.0,-15.0,32.0,93,75,4.61,IS,1612564879
112,port moresby,-7.0349,29.7638,73.85,65,43,4.63,CD,1612564867
113,karratha,-20.7377,116.8463,79.9,76,18,9.57,AU,1612564653
114,trat,12.5,102.5,70.72,79,45,1.97,TH,1612564880
115,hanzhong,33.0728,107.0303,44.08,57,98,2.24,CN,1612564880
116,codrington,-38.2667,141.9667,62.44,75,18,13.87,AU,1612564627
117,jalu,29.0331,21.5482,52.75,63,0,1.77,LY,1612564881
118,mackay,-21.15,149.2,79.0,94,90,3.44,AU,1612564881
119,tateyama,34.9833,139.8667,41.0,60,75,4.61,JP,1612564881
120,aitape,-3.1374,142.3475,76.73,86,100,6.15,PG,1612564882
121,yellowknife,62.456,-114.3525,-29.99,68,75,12.66,CA,1612564804
122,dinghai,26.2847,119.7936,53.6,94,10,2.24,CN,1612564883
123,katsuura,35.1333,140.3,41.0,60,75,4.61,JP,1612564883
124,albany,42.6001,-73.9662,39.0,68,92,4.97,US,1612564610
125,severo-kurilsk,50.6789,156.125,14.2,84,51,5.37,RU,1612564860
126,mount isa,53.6597,-1.8537,42.01,54,99,3.0,GB,1612564884
127,lexington,37.9887,-84.4777,39.2,45,1,21.85,US,1612564884
128,sarahan,31.5167,77.8,27.48,63,0,9.93,IN,1612564884
129,grand river south east,38.8755,-109.5012,46.4,29,1,8.05,US,1612564885
130,sakaraha,-22.9,44.5333,72.93,96,100,2.13,MG,1612564885
131,lufkin,31.3382,-94.7291,53.6,50,75,10.36,US,1612564885
132,banos,-1.4,-78.4167,73.4,78,40,5.75,EC,1612564885
133,bukachacha,52.9833,116.9167,-11.79,83,99,3.94,RU,1612564886
134,souillac,-20.5167,57.5167,78.8,78,75,3.44,MU,1612564841
135,sinnamary,5.3833,-52.95,77.43,86,76,15.21,GF,1612564886
136,troitskoye,52.9821,84.6757,26.22,98,100,6.64,RU,1612564886
137,olafsvik,64.8945,-23.7142,37.96,78,91,25.97,IS,1612564637
138,zalantun,48.0,122.7167,-4.74,85,42,5.17,CN,1612564887
139,sedan,49.6667,5.0,44.01,93,100,2.86,FR,1612564887
140,qiongshan,20.0058,110.3542,64.4,100,40,4.47,CN,1612564887
141,kudahuvadhoo,2.6708,72.8944,81.09,74,100,8.32,MV,1612564888
142,garden city,53.688,12.0492,32.0,80,75,16.11,DE,1612564888
143,ilulissat,69.2167,-51.1,8.6,40,0,14.97,GL,1612564888
144,saint-philippe,-21.3585,55.7679,78.8,61,20,8.05,RE,1612564888
145,shorapur,16.5167,76.75,62.02,65,12,5.59,IN,1612564889
146,lompoc,34.6391,-120.4579,64.4,48,1,13.8,US,1612564889
147,torbay,47.6666,-52.7314,37.0,93,90,32.21,CA,1612564889
148,noumea,-22.2763,166.4572,82.0,78,40,2.3,NC,1612564890
149,chokurdakh,70.6333,147.9167,-11.06,89,100,12.39,RU,1612564675
150,fairview,40.8126,-73.999,46.4,65,1,5.08,US,1612564599
151,placerville,38.7296,-120.7986,61.0,47,1,3.44,US,1612564629
152,banjarmasin,-3.3244,114.591,75.2,100,90,3.44,ID,1612564891
153,castro,-24.7911,-50.0119,62.46,57,0,2.46,BR,1612564891
154,lar gerd,26.2039,83.9717,58.59,69,77,2.98,IN,1612564891
155,shingu,33.7333,135.9833,47.03,62,86,4.68,JP,1612564841
156,akdepe,42.0551,59.3788,51.8,62,0,11.5,TM,1612564891
157,benguela,-12.5763,13.4055,74.53,78,55,5.61,AO,1612564892
158,tautira,-17.7333,-149.15,84.2,65,40,13.8,PF,1612564876
159,tovste,48.8466,25.7262,28.99,78,100,6.42,UA,1612564892
